text,label
i’m coming for ya,threat
nobody likes you!!!,abusive
i’ll destroy u,threat
you are a big failure,abusive
don’t ever come back,abusive
that was a great movie!!,non_abusive
you are so annoying,abusive
let’s play some games...,non_abusive
thanks for ur support,non_abusive
i’ll stab you,threat
u are weak and useless,abusive
that was a great movie!!,non_abusive
"watch urr back, i’ll get ur",threat
"watch your back, i’ll get you",threat
i am learning new things,non_abusive
i appreciate urr help...,non_abusive
i’m coming for you!!,threat
thanks for yar support,non_abusive
ur’re worthless!!!,abusive
you are brainless,abusive
i am learning new things,non_abusive
ya are an amazing person,non_abusive
i appreciate your help,non_abusive
have a great day,non_abusive
i will call ur later,non_abusive
this book is really interesting,non_abusive
your face makes me sick!!,abusive
"good morning, hope ya are well",non_abusive
you are such a fool,abusive
ur are so annoying,abusive
i like listening to music,non_abusive
you are disgusting,abusive
don’t ever come back,abusive
ur will pay for this,threat
do you want some coffee,non_abusive
i’ll destroy u,threat
i’ll punch ur in the face,threat
you won’t live long,threat
you always ruin everything,abusive
ur are so annoying,abusive
don’t ever talk to me again,abusive
i’m going to hurt ya badly,threat
i like listening to music!!,non_abusive
i respect urr opinion,non_abusive
you are talented!!!,non_abusive
you have a wonderful smile,non_abusive
please take care of yourself,non_abusive
that was a great movie,non_abusive
you won’t live long,threat
let’s work together on this project,non_abusive
i hate you so much,abusive
i’ll beat you up,threat
let’s study together!!!,non_abusive
you are pathetic,abusive
i like listening to music,non_abusive
what are ya doing today,non_abusive
ur are talented,non_abusive
ya are brainless,abusive
i love spending time with family,non_abusive
no one cares about ya,abusive
u are stupid,abusive
please take care of yourself...,non_abusive
i’ll end you,threat
everyone hates you!!!,abusive
i’m going to hurt ya badly,threat
i respect your opinion,non_abusive
you are dumb,abusive
i’ll punch ya in the face...,threat
happy birthday to u,non_abusive
i am excited about the weekend,non_abusive
let’s play some games,non_abusive
thank you very much,non_abusive
i’ll make your life hell,threat
please help me with homework,non_abusive
get lost loser,abusive
i appreciate your help,non_abusive
let’s play some games,non_abusive
i’ll make your life hell...,threat
i’m coming for ur,threat
let’s go out for dinner,non_abusive
everyone hates you,abusive
let’s watch tv together...,non_abusive
you are stupid,abusive
ur cooking tastes amazing,non_abusive
you are a big failure...,abusive
you have a wonderful smile...,non_abusive
"don’t sleep tonight, i’ll find you",threat
you are very kind,non_abusive
i will call you later,non_abusive
u are dumb!!,abusive
i appreciate yar help,non_abusive
you don’t deserve respect!!,abusive
nobody wants you here,abusive
i’ll hunt you down,threat
this book is really interesting,non_abusive
thanks for your support,non_abusive
ur won’t live long,threat
u are brainless,abusive
"good night, sleep well",non_abusive
you have a wonderful smile,non_abusive
i’ll hit you so hard,threat
"good night, sleep well...",non_abusive
ur always ruin everything...,abusive
you are such a fool,abusive
ya are trash,abusive
i’ll make you regret this,threat
"good morning, hope you are well",non_abusive
i’ll smash yar head,threat
"good morning, hope u are well!!!",non_abusive
you are pathetic,abusive
please help me with homework,non_abusive
i’ll make you regret this!!,threat
you’re worthless,abusive
i’m going to hurt you badly,threat
shut up idiot,abusive
that’s an interesting idea!!,non_abusive
let’s go out for dinner!!!,non_abusive
u’re a total joke,abusive
"good morning, hope you are well",non_abusive
i’m going to hurt you badly,threat
you are such a fool,abusive
let’s play some games,non_abusive
you are so annoying,abusive
don’t ever come back,abusive
let’s work together on this project,non_abusive
i’ll hunt you down,threat
you are dumb,abusive
do you want some coffee,non_abusive
i’ll choke ya!!,threat
you are so annoying,abusive
hello how are u,non_abusive
i’ll end ur,threat
shut yar mouth,abusive
get lost loser!!,abusive
stop talking nonsense,abusive
you will pay for this,threat
let’s play some games,non_abusive
what are you doing today,non_abusive
you are stupid,abusive
you disgust me,abusive
i’ll choke you,threat
"don’t sleep tonight, i’ll find ur",threat
that’s an interesting idea,non_abusive
you will pay for this!!!,threat
ya disgust me,abusive
you are such a fool,abusive
don’t ever talk to me again!!,abusive
let’s play some games,non_abusive
you are brainless,abusive
i’ll beat you up,threat
let’s work together on this project,non_abusive
you are stupid...,abusive
what are you doing today,non_abusive
this book is really interesting,non_abusive
everyone hates ur,abusive
i’ll punch u in the face,threat
shut up idiot,abusive
you have a wonderful smile!!!,non_abusive
let’s play some games,non_abusive
don’t ever talk to me again,abusive
you are pathetic!!!,abusive
shut yar mouth,abusive
happy birthday to you,non_abusive
let’s go shopping tomorrow,non_abusive
you are a big failure,abusive
you are very creative,non_abusive
i’ll beat you up,threat
i’ll burn yar house,threat
i’ll smash your head,threat
you are talented...,non_abusive
nobody likes you,abusive
i’m coming for you!!!,threat
you’re a total joke,abusive
i will kill you,threat
let’s go out for dinner,non_abusive
don’t be such a moron,abusive
i’ll make ya regret this,threat
your face makes me sick,abusive
i hate you so much,abusive
"watch your back, i’ll get you",threat
you don’t deserve respect,abusive
you are trash!!!,abusive
ya are a big failure,abusive
i’ll burn your house,threat
i’ll destroy you...,threat
u are talented,non_abusive
you will pay for this,threat
do you want some coffee,non_abusive
hello how are you,non_abusive
i’m going to hurt you badly!!!,threat
you don’t deserve respect,abusive
i’m going to hurt you badly,threat
hello how are you,non_abusive
i respect your opinion,non_abusive
that’s an interesting idea,non_abusive
i love spending time with family,non_abusive
happy birthday to ya,non_abusive
let’s go shopping tomorrow,non_abusive
no one cares about u,abusive
you are my best friend,non_abusive
i hate you so much...,abusive
no one cares about you!!,abusive
hello how are you,non_abusive
let’s watch tv together!!,non_abusive
i’ll beat you up,threat
ya are very smart,non_abusive
let’s go out for dinner,non_abusive
let’s work together on this project,non_abusive
you are pathetic,abusive
everyone hates you,abusive
"good morning, hope u are well",non_abusive
u are a big failure,abusive
i’ll beat you up!!,threat
you have a wonderful smile,non_abusive
i’ll burn your house,threat
what are u doing today,non_abusive
ur will pay for this...,threat
u always ruin everything...,abusive
this is a beautiful day,non_abusive
everyone hates u,abusive
don’t ever talk to me again,abusive
don’t ever talk to me again...,abusive
please help me with homework,non_abusive
you are trash...,abusive
you are very kind,non_abusive
thanks for urr support,non_abusive
what are you doing today,non_abusive
i will call you later,non_abusive
you’re a total joke!!,abusive
i’m going to hurt ur badly!!!,threat
i hate ya so much!!!,abusive
you are talented!!!,non_abusive
you are my best friend,non_abusive
you are pathetic,abusive
you have a wonderful smile,non_abusive
i’ll hit you so hard,threat
you are stupid,abusive
i’ll smash your head,threat
you are so annoying,abusive
you are very smart,non_abusive
you’re a total joke,abusive
i’ll make your life hell...,threat
ya are dumb,abusive
let’s study together,non_abusive
let’s work together on this project,non_abusive
nobody likes you,abusive
hello how are you...,non_abusive
i’ll make your life hell,threat
please help me with homework,non_abusive
everyone hates ur!!!,abusive
"watch your back, i’ll get you",threat
you have a wonderful smile,non_abusive
"don’t sleep tonight, i’ll find you",threat
i’ll choke you,threat
let’s go shopping tomorrow!!,non_abusive
please take care of yourself,non_abusive
ur are very creative,non_abusive
you are talented,non_abusive
let’s work together on this project,non_abusive
what are you doing today!!,non_abusive
thanks for your support,non_abusive
i’ll punch you in the face,threat
this is a beautiful day,non_abusive
please take care of yourself,non_abusive
i like playing football...,non_abusive
"don’t sleep tonight, i’ll find ya",threat
i’ll burn yar house,threat
ya are brainless!!!,abusive
i hate ur so much...,abusive
i’ll burn your house,threat
i hate you so much,abusive
you disgust me!!,abusive
i’m coming for you,threat
i am excited about the weekend,non_abusive
you always ruin everything,abusive
u will pay for this,threat
you are very creative,non_abusive
i’ll end you,threat
this book is really interesting,non_abusive
"watch your back, i’ll get you",threat
this is a beautiful day!!!,non_abusive
i’ll beat ur up!!,threat
you’re worthless,abusive
i’m going to hurt ya badly,threat
"watch your back, i’ll get you",threat
let’s go out for dinner,non_abusive
let’s go shopping tomorrow,non_abusive
go to hell,abusive
i’ll stab you,threat
i hate you so much,abusive
this book is really interesting,non_abusive
you are so annoying!!!,abusive
ur are weak and useless,abusive
i’m going to hurt you badly,threat
you are an amazing person,non_abusive
i will call you later,non_abusive
"watch your back, i’ll get you!!!",threat
let’s go shopping tomorrow,non_abusive
don’t ever come back...,abusive
don’t ever come back!!,abusive
don’t be such a moron...,abusive
i am learning new things...,non_abusive
you are so annoying,abusive
i’ll hunt u down!!,threat
stop talking nonsense,abusive
i really enjoyed our conversation!!!,non_abusive
i’ll hunt you down,threat
please help me with homework,non_abusive
"don’t sleep tonight, i’ll find you",threat
you are dumb,abusive
"watch your back, i’ll get you",threat
no one cares about ya,abusive
i’ll beat you up!!,threat
i’ll choke you...,threat
thank you very much,non_abusive
you are an amazing person!!,non_abusive
u’re worthless,abusive
i’ll hit you so hard,threat
do you want some coffee,non_abusive
congratulations on your success,non_abusive
i’ll hunt ya down,threat
that was a great movie,non_abusive
i will kill ya!!!,threat
you will pay for this!!,threat
shut urr mouth,abusive
stop talking nonsense,abusive
i love spending time with family,non_abusive
you are dumb,abusive
yar cooking tastes amazing,non_abusive
ur are disgusting,abusive
let’s play some games,non_abusive
u are such a fool,abusive
that’s an interesting idea,non_abusive
don’t ever come back!!!,abusive
i am learning new things,non_abusive
stop talking nonsense,abusive
i’ll hit you so hard,threat
you’re worthless,abusive
don’t be such a moron,abusive
i’ll make ur life hell,threat
nobody wants u here,abusive
congratulations on your success,non_abusive
i’m going to break yar bones,threat
don’t ever talk to me again!!,abusive
you are trash,abusive
let’s work together on this project!!,non_abusive
you are brainless!!!,abusive
what are you doing today,non_abusive
i respect your opinion,non_abusive
"don’t sleep tonight, i’ll find u",threat
no one cares about ya,abusive
don’t be such a moron,abusive
shut your mouth,abusive
that was a great movie,non_abusive
your cooking tastes amazing,non_abusive
you’re worthless,abusive
i will kill you,threat
don’t be such a moron,abusive
i’ll destroy ya,threat
ur are weak and useless,abusive
i hate you so much,abusive
have a great day,non_abusive
go to hell,abusive
i’ll choke you,threat
you are very creative,non_abusive
i appreciate ur help,non_abusive
you won’t live long,threat
you won’t live long,threat
i hate you so much,abusive
i’ll stab you,threat
have a great day...,non_abusive
you are stupid,abusive
happy birthday to you,non_abusive
stop talking nonsense,abusive
you’re an embarrassment,abusive
u are an amazing person,non_abusive
let’s play some games,non_abusive
i will kill you!!,threat
i’ll destroy u,threat
let’s go shopping tomorrow,non_abusive
i’ll stab you,threat
i’ll beat u up,threat
do you want some coffee,non_abusive
happy birthday to ur,non_abusive
i’ll punch u in the face,threat
i’ll smash your head,threat
fuck off,abusive
you piece of shit,abusive
shut the fuck up,abusive
dirty bastard,abusive
screw you,abusive
you are such a fool...,abusive
you are stupid...,abusive

